game,subject,session,n_trials,p_move_empirical,p_move_chance,p_hold,chance_hit_rate,chance_hit_rate_lo,chance_hit_rate_hi,chance_broad_acc,chance_broad_acc_lo,chance_broad_acc_hi,chance_liberal_acc,chance_liberal_acc_lo,chance_liberal_acc_hi,chance_frac_correct_side,chance_frac_correct_side_lo,chance_frac_correct_side_hi,chance_mean_dist_final,chance_mean_dist_final_lo,chance_mean_dist_final_hi,chance_mean_min_dist,chance_mean_min_dist_lo,chance_mean_min_dist_hi
graph_ml,Subject_006,Session_003,100,0.9833444529165078,0.9833444529165078,0.016655547083492185,0.0,0.0,0.0,6.8e-05,4.6e-05,9.2e-05,0.490012,0.4885918,0.49141614999999994,0.4789155312821964,0.4780158738106249,0.4799055392363099,354.956532,354.84743060000005,355.0655096,324.29134000000005,324.2253081,324.35868050000005
graph_neurofeedback,Subject_003,Session_001,20,0.9304763013858158,0.9304763013858158,0.06952369861418423,0.0,0.0,0.0,3.0000000000000004e-05,0.0,7e-05,0.49072000000000005,0.4877695000000001,0.4938302499999999,0.47858142776740586,0.47645370769946677,0.48058983091584084,354.91605999999996,354.6669775,355.1591555,324.69704,324.548173,324.85358199999996
graph_neurofeedback,Subject_003,Session_002,80,0.9808398273974367,0.9808398273974367,0.019160172602563277,0.0,0.0,0.0,3.0000000000000004e-05,1.4999999999999999e-05,5e-05,0.48936499999999994,0.48777693749999995,0.49098500000000006,0.47833218710151204,0.4772645226296852,0.4794913998504614,354.96224,354.83509525,355.08611062499995,325.57668499999994,325.500889375,325.650260375
graph_neurofeedback,Subject_009,Session_001,20,0.9290239172592114,0.9290239172592114,0.07097608274078862,0.0,0.0,0.0,4e-05,1e-05,8e-05,0.4861,0.4828172500000001,0.48925,0.4743292804595886,0.4719704090664551,0.47657803835759543,355.2395,355.0017205,355.46131499999996,326.76834,326.62473450000005,326.92197899999996
graph_neurofeedback,Subject_009,Session_002,20,0.9070961718020542,0.9070961718020542,0.09290382819794585,0.0,0.0,0.0,0.0,0.0,0.0,0.4881,0.48513,0.49138999999999994,0.47539784025956977,0.4732114955476935,0.4776998126188742,354.9816,354.76806899999997,355.2068405,329.31816,329.195935,329.44839950000005
neurofeedback,Subject_000,Session_001,29,0.9884861965196913,0.9884861965196913,0.01151380348030878,0.0,0.0,0.0,1.3793103448275862e-05,0.0,3.4482758620689657e-05,0.48537931034482756,0.48282706896551725,0.48806965517241374,0.47312816771285177,0.47130907605145045,0.4750274670437918,354.5841379310345,354.4093475862069,354.7484551724138,330.37980689655177,330.278231724138,330.4814937931035
neurofeedback,Subject_000,Session_002,80,0.9973878580435958,0.9973878580435958,0.0026121419564042515,0.0,0.0,0.0,1e-05,2.5e-06,2.0062499999999946e-05,0.48141749999999994,0.4797823124999999,0.48301012500000007,0.47269085823080875,0.47158237594618857,0.4737452601118754,355.15671999999995,355.041831625,355.26088350000003,330.121405,330.05588712499997,330.18742075
neurofeedback,Subject_000,Session_003,20,0.9886721208307112,0.9886721208307112,0.011327879169288861,0.0,0.0,0.0,0.0,0.0,0.0,0.4853200000000001,0.48228999999999994,0.4885705,0.47247095464344463,0.47032635403450873,0.4744825355032228,355.01608000000004,354.83688850000004,355.203082,331.97303999999997,331.8563245,332.0878515
neurofeedback,Subject_000,Session_004,40,0.9950784896054305,0.9950784896054305,0.004921510394569368,0.0,0.0,0.0,2e-05,5e-06,4e-05,0.486025,0.48378937499999997,0.48835,0.4757783802534132,0.47415868879011763,0.4774443339379038,355.09502000000003,354.9401775,355.25039875,329.24729,329.15573,329.33843525
neurofeedback,Subject_000,Session_005,200,0.9989684340829379,0.9989684340829379,0.0010315659170621002,0.0,0.0,0.0,1.9e-05,1e-05,2.8999999999999997e-05,0.48131499999999994,0.48036252499999993,0.4823071,0.4756954987423539,0.4750068100479537,0.47636185779200785,355.01937999999996,354.95566779999996,355.09096465,328.26761600000003,328.22725725,328.30635570000004
neurofeedback,Subject_000,Session_006,100,0.9985043467422803,0.9985043467422803,0.001495653257719752,0.0,0.0,0.0,2.2e-05,1e-05,3.6e-05,0.48313199999999995,0.48177485000000003,0.4844302499999999,0.4762036625913458,0.4752551533606177,0.47714861276207154,354.976856,354.87565700000005,355.0802058,328.07677600000005,328.01601700000003,328.13537790000004
neurofeedback,Subject_000,Session_007,5,0.7695707070707071,0.7695707070707071,0.23042929292929293,0.0,0.0,0.0,0.00012000000000000002,0.0,0.00028,0.48956000000000005,0.48351900000000003,0.49576600000000004,0.4750632509536115,0.47080664290054464,0.4792136793961497,351.84207999999995,351.44097999999997,352.22051,328.63384,328.403116,328.86120999999997
neurofeedback,Subject_001,Session_000,100,0.9913230264831407,0.9913230264831407,0.00867697351685933,0.0,0.0,0.0,3.4e-05,1.9999999999999998e-05,5.2000000000000004e-05,0.488108,0.48673395,0.48952044999999994,0.47693312820723005,0.47590499896650307,0.47791424431196966,355.034988,354.9278788,355.1355144,326.92497599999996,326.860954,326.9830253
